,STRIKE_COUNT
temp,0.11511501307390914
feelslike,0.11602456328489479
humidity,0.04156249338002889
dew,0.10965087726922854
precip,-0.00458545536897509
precipprob,-0.024375991578809854
snow,-0.012546036889673456
snowdepth,-0.045193420499701153
windgust,-0.025302276131432738
windspeed,-0.06233529526264105
winddir,-0.01079554319597541
pressure,-0.035369200470817826
visibility,0.004230353890165275
cloudcover,-0.015574027551975497
solarradiation,0.0995602756057527
solarenergy,0.09959189282660155
uvindex,0.1010115023704781
tzoffset,
severerisk,0.029132028228598623
STRIKE_COUNT,1.0
